epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,131.722,1.01914,0.76164,0.97758,0.95913,0.9669,0.95735,0.54894,1.58119,0.67313,1.2432,0.000438703,0.000438703,0.000438703
72,133.559,1.02901,0.79815,0.9702,0.9494,0.97917,0.96212,0.57085,1.58255,0.66343,1.22015,0.000424556,0.000424556,0.000424556
73,135.353,0.99428,0.76643,0.96665,0.94423,0.99645,0.98094,0.57644,1.56519,0.67261,1.19982,0.000410409,0.000410409,0.000410409
74,137.155,0.97268,0.73206,0.9492,0.93601,0.98729,0.98017,0.5748,1.51311,0.67264,1.21218,0.000396262,0.000396262,0.000396262
75,138.96,0.9378,0.71396,0.94885,0.93502,0.98588,0.97723,0.56895,1.54881,0.6764,1.27232,0.000382115,0.000382115,0.000382115
76,140.751,1.09511,0.81444,1.04172,0.95863,0.96115,0.97822,0.58391,1.50389,0.65275,1.21899,0.000367967,0.000367967,0.000367967
77,142.564,0.94875,0.71855,0.94816,0.96028,0.9962,0.98639,0.59138,1.49593,0.65081,1.19264,0.00035382,0.00035382,0.00035382
78,144.389,0.98371,0.76425,0.94848,0.93812,0.96281,0.95784,0.57896,1.51309,0.66356,1.21086,0.000339673,0.000339673,0.000339673
79,146.192,1.01087,0.79207,0.97016,0.93772,0.95947,0.95528,0.56114,1.49875,0.67943,1.22772,0.000325526,0.000325526,0.000325526
80,147.986,0.93155,0.72907,0.9423,0.91962,0.96725,0.95375,0.56954,1.47533,0.66367,1.20933,0.000311379,0.000311379,0.000311379
81,149.781,0.96873,0.70285,0.96916,0.94538,0.9571,0.96779,0.56025,1.50102,0.6486,1.2117,0.000297232,0.000297232,0.000297232
82,151.569,0.80495,1.61667,0.83148,0.93911,0.95824,0.9567,0.5608,1.51052,0.6514,1.21377,0.000283085,0.000283085,0.000283085
83,153.382,0.90723,0.70674,0.9389,0.95286,0.96982,0.97683,0.56078,1.51501,0.65426,1.22506,0.000268938,0.000268938,0.000268938
84,155.173,0.93732,0.70714,0.9421,0.95336,0.97016,0.9738,0.57255,1.49276,0.66085,1.21261,0.000254791,0.000254791,0.000254791
85,156.978,0.8587,0.65875,0.90042,0.96518,0.97422,0.98434,0.59137,1.47179,0.65465,1.19427,0.000240644,0.000240644,0.000240644
86,158.787,0.88135,0.64201,0.93527,0.96313,0.97917,0.98416,0.58572,1.47397,0.66577,1.19389,0.000226497,0.000226497,0.000226497
87,160.598,0.84236,0.68423,0.9249,0.95437,0.96891,0.96273,0.57149,1.4936,0.66695,1.20612,0.000212349,0.000212349,0.000212349
88,162.395,0.86788,0.77517,0.91057,0.96125,0.96062,0.95809,0.55504,1.5038,0.65175,1.20337,0.000198202,0.000198202,0.000198202
89,164.189,0.89347,0.71128,0.92815,0.97191,0.97016,0.98,0.57185,1.49011,0.63894,1.18884,0.000184055,0.000184055,0.000184055
90,166.008,0.86238,0.68821,0.93213,0.9512,0.94932,0.95882,0.57067,1.4753,0.63537,1.18052,0.000169908,0.000169908,0.000169908
91,188.559,0.89543,0.75041,0.93853,0.95058,0.94932,0.96122,0.59172,1.47242,0.63788,1.18587,0.000155761,0.000155761,0.000155761
92,190.385,0.93452,0.80616,0.95235,0.95435,0.94932,0.96296,0.57818,1.47736,0.63705,1.18863,0.000141614,0.000141614,0.000141614
93,192.181,0.85276,0.73385,0.92726,0.96857,0.94932,0.96271,0.57501,1.49169,0.6319,1.19626,0.000127467,0.000127467,0.000127467
94,193.981,0.94724,0.8348,0.93904,0.96737,0.97016,0.98,0.58365,1.5028,0.63242,1.20157,0.00011332,0.00011332,0.00011332
95,195.761,0.85451,0.76208,0.95167,0.96671,0.97016,0.97965,0.57478,1.50276,0.63652,1.20596,9.91726e-05,9.91726e-05,9.91726e-05
96,197.569,0.87768,0.7575,0.92114,0.96962,0.96938,0.9802,0.56604,1.51693,0.63464,1.20956,8.50255e-05,8.50255e-05,8.50255e-05
97,199.38,0.85266,0.71379,0.92675,0.97123,0.97016,0.96761,0.57311,1.51248,0.63217,1.2083,7.08784e-05,7.08784e-05,7.08784e-05
98,201.165,0.85496,0.75036,0.91976,0.97158,0.97016,0.96755,0.57568,1.50668,0.63135,1.20592,5.67313e-05,5.67313e-05,5.67313e-05
99,202.962,0.90073,0.76698,0.93141,0.97506,0.96994,0.96746,0.57588,1.50447,0.62745,1.20314,4.25842e-05,4.25842e-05,4.25842e-05
100,204.744,0.79639,0.89468,0.87026,0.97599,0.9692,0.96739,0.57688,1.49994,0.63144,1.20225,2.84371e-05,2.84371e-05,2.84371e-05
